unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1597906800,8-20-20 7:00,ETH/USDT,407.89,408.12,403.56,404.16,250268.02,617.57
1597903200,8-20-20 6:00,ETH/USDT,404.54,409.27,402.33,407.89,606858.33,1487.09
1597899600,8-20-20 5:00,ETH/USDT,405.19,405.21,402.87,404.54,255171.4,631.43
1597896000,8-20-20 4:00,ETH/USDT,407,408.55,404.03,405.19,588341.85,1449.34
1597892400,8-20-20 3:00,ETH/USDT,408.07,409.8,406.45,407,212987.28,522.94
1597888800,8-20-20 2:00,ETH/USDT,410.51,411.08,406.7,408.07,160119.74,391.63
1597885200,8-20-20 1:00,ETH/USDT,411.49,413.66,410.26,410.51,181430.79,440.13
1597881600,8-20-20 0:00,ETH/USDT,407.64,415.3,407.64,411.49,782706.39,1897.38
1597878000,8-19-20 23:00,ETH/USDT,407.46,408.6,405.19,407.64,301960.12,742.47
1597874400,8-19-20 22:00,ETH/USDT,404.42,408.81,404.42,407.46,261863.57,643.48
1597870800,8-19-20 21:00,ETH/USDT,404,408.43,402.98,404.42,235110.35,580.43
1597867200,8-19-20 20:00,ETH/USDT,395.95,404,393.81,404,704169.29,1770.13
1597863600,8-19-20 19:00,ETH/USDT,404.6,405.41,395,395.95,1451558.19,3629.14
1597860000,8-19-20 18:00,ETH/USDT,408.33,408.33,400.01,404.6,743985.07,1844.4
1597856400,8-19-20 17:00,ETH/USDT,407.72,408.78,404.57,408.33,253986.14,623.79
1597852800,8-19-20 16:00,ETH/USDT,409.83,411.96,401.51,407.72,685878.2,1687.97
1597849200,8-19-20 15:00,ETH/USDT,408.98,411.2,406.24,409.83,540060.2,1322.93
1597845600,8-19-20 14:00,ETH/USDT,412.48,414.14,407.78,408.98,318852.05,774.56
1597842000,8-19-20 13:00,ETH/USDT,412.46,415.25,409.99,412.48,370987.26,899.11
1597838400,8-19-20 12:00,ETH/USDT,413.28,414.16,411.04,412.46,121808.26,295.16
1597834800,8-19-20 11:00,ETH/USDT,412.28,415.66,410.78,413.28,250513.03,606.54
1597831200,8-19-20 10:00,ETH/USDT,413.46,413.8,408.84,412.28,460334.9,1119.08
1597827600,8-19-20 9:00,ETH/USDT,412.57,416,412.57,413.46,685178.61,1652.36
1597824000,8-19-20 8:00,ETH/USDT,413.4,414.57,411.2,412.57,208285.72,504.88
1597820400,8-19-20 7:00,ETH/USDT,408.68,413.41,407.63,413.4,277401.85,675.55
1597816800,8-19-20 6:00,ETH/USDT,408.41,409.86,402.07,408.68,1000262.21,2464.34
1597813200,8-19-20 5:00,ETH/USDT,412.1,413.42,406.98,408.41,558705.16,1361.02
1597809600,8-19-20 4:00,ETH/USDT,415.64,417.17,406.28,412.1,1643872.53,3991.12
1597806000,8-19-20 3:00,ETH/USDT,420.7,422.26,415.21,415.64,281861.19,672.95
1597802400,8-19-20 2:00,ETH/USDT,423.32,423.91,419.47,420.7,244582.2,580.38
1597798800,8-19-20 1:00,ETH/USDT,424.07,426.65,422.86,423.32,216713.42,510.53
1597795200,8-19-20 0:00,ETH/USDT,422.01,424.49,420.43,424.07,152306.38,360.3
1597791600,8-18-20 23:00,ETH/USDT,425.36,425.36,422,422.01,156719.42,370.06
1597788000,8-18-20 22:00,ETH/USDT,427.32,427.62,424.61,425.36,320624.04,751.56
1597784400,8-18-20 21:00,ETH/USDT,427.24,429.05,426.31,427.32,247619.38,579.15
1597780800,8-18-20 20:00,ETH/USDT,423.74,428.9,423.69,427.24,461811.47,1080.9
1597777200,8-18-20 19:00,ETH/USDT,423.13,426.3,423.13,423.74,685733.46,1612.43
1597773600,8-18-20 18:00,ETH/USDT,423.48,425,422.39,423.13,128984.97,304.46
1597770000,8-18-20 17:00,ETH/USDT,423.79,424.88,422.04,423.48,252167.83,595.25
1597766400,8-18-20 16:00,ETH/USDT,420.55,424.6,417,423.79,526753.81,1250.45
1597762800,8-18-20 15:00,ETH/USDT,422.8,425.61,419.44,420.55,562703.36,1330.68
1597759200,8-18-20 14:00,ETH/USDT,425.98,427,414,422.8,1919946.2,4560.04
1597755600,8-18-20 13:00,ETH/USDT,429.31,430.14,422,425.98,705660.77,1658.43
1597752000,8-18-20 12:00,ETH/USDT,427.07,430.11,426.5,429.31,239832.43,559.58
1597748400,8-18-20 11:00,ETH/USDT,431.33,431.61,427.04,427.07,172032.86,400.66
1597744800,8-18-20 10:00,ETH/USDT,428.95,431.61,428.45,431.33,171222.71,397.91
1597741200,8-18-20 9:00,ETH/USDT,430.44,430.79,428.5,428.95,108414.54,252.46
1597737600,8-18-20 8:00,ETH/USDT,429.42,431.01,429.18,430.44,307825.48,715.98
1597734000,8-18-20 7:00,ETH/USDT,430.3,430.51,428.3,429.42,190953.23,444.74
1597730400,8-18-20 6:00,ETH/USDT,428.24,430.41,426.54,430.3,133400.86,311.72
1597726800,8-18-20 5:00,ETH/USDT,428.02,429.29,426.3,428.24,129817.4,303.32
1597723200,8-18-20 4:00,ETH/USDT,429.85,429.94,427,428.02,253657.91,592.21
1597719600,8-18-20 3:00,ETH/USDT,431.65,432.27,428.18,429.85,75216.84,174.93
1597716000,8-18-20 2:00,ETH/USDT,429.49,432.18,427.78,431.65,488653.14,1137.64
1597712400,8-18-20 1:00,ETH/USDT,433.03,433.03,428.57,429.49,287248.67,668.12
1597708800,8-18-20 0:00,ETH/USDT,430.65,433.5,430.49,433.03,86011.78,198.98
1597705200,8-17-20 23:00,ETH/USDT,437.58,438.8,428,430.65,476378.7,1101.36
1597701600,8-17-20 22:00,ETH/USDT,438.3,439.4,437.04,437.58,207418.2,473.26
1597698000,8-17-20 21:00,ETH/USDT,437.29,439.22,435.11,438.3,114542.36,261.57
1597694400,8-17-20 20:00,ETH/USDT,436.91,439.17,436.31,437.29,54338.64,124.12
1597690800,8-17-20 19:00,ETH/USDT,436,438.05,435,436.91,174277.99,399.29
1597687200,8-17-20 18:00,ETH/USDT,440.68,441.57,435.04,436,239964.33,547.59
1597683600,8-17-20 17:00,ETH/USDT,438.68,441.69,438.6,440.68,236457.89,537.55
1597680000,8-17-20 16:00,ETH/USDT,440.29,446.85,438,438.68,1077492.68,2440.81
1597676400,8-17-20 15:00,ETH/USDT,431.38,440.88,429,440.29,917475.86,2108.28
1597672800,8-17-20 14:00,ETH/USDT,429.82,431.94,427.38,431.38,328171.17,763.4
1597669200,8-17-20 13:00,ETH/USDT,426.47,432.07,422.67,429.82,1280791.19,2987.2
1597665600,8-17-20 12:00,ETH/USDT,428.52,430.8,423.34,426.47,363787.16,850.07
1597662000,8-17-20 11:00,ETH/USDT,426.07,428.74,425.61,428.52,82914.1,194.34
1597658400,8-17-20 10:00,ETH/USDT,425.9,428.63,425,426.07,285237.98,668.31
1597654800,8-17-20 9:00,ETH/USDT,428.52,429.5,425.9,425.9,141679.38,331.42
1597651200,8-17-20 8:00,ETH/USDT,424.08,430,423.45,428.52,281562.11,659.34
1597647600,8-17-20 7:00,ETH/USDT,423.9,425.82,422.18,424.08,254507.52,599.65
1597644000,8-17-20 6:00,ETH/USDT,421.76,426,420.63,423.9,158916.05,375.56
1597640400,8-17-20 5:00,ETH/USDT,423,425.73,421.46,421.76,244432.65,577.13
1597636800,8-17-20 4:00,ETH/USDT,425.63,425.66,422.43,423,181529.49,428.43
1597633200,8-17-20 3:00,ETH/USDT,425.73,427.35,423.14,425.63,120694.63,284.18
1597629600,8-17-20 2:00,ETH/USDT,427.89,428.32,421.73,425.73,77532.61,182.83
1597626000,8-17-20 1:00,ETH/USDT,430.6,430.6,425.1,427.89,487102.29,1137.82
1597622400,8-17-20 0:00,ETH/USDT,433.7,434.8,429.37,430.6,61359,142.13
1597618800,8-16-20 23:00,ETH/USDT,433.13,434.34,430.62,433.7,146933.68,339.55
1597615200,8-16-20 22:00,ETH/USDT,431.57,433.91,429.79,433.13,84295.17,195.19
1597611600,8-16-20 21:00,ETH/USDT,430.32,433.22,429.87,431.57,125326.63,290.31
1597608000,8-16-20 20:00,ETH/USDT,429.2,430.78,427,430.32,434762.48,1014.8
1597604400,8-16-20 19:00,ETH/USDT,430.8,431.4,428.61,429.2,140278.7,326.33
1597600800,8-16-20 18:00,ETH/USDT,430.22,431.99,429.35,430.8,162916.67,378.76
1597597200,8-16-20 17:00,ETH/USDT,434.4,435.55,428.88,430.22,422588.27,978.55
1597593600,8-16-20 16:00,ETH/USDT,430.75,436.75,430.75,434.4,502169.91,1156.81
1597590000,8-16-20 15:00,ETH/USDT,423.75,431.66,422.51,430.75,355181.02,830.87
1597586400,8-16-20 14:00,ETH/USDT,422.93,424.75,422.08,423.75,295009.52,696.09
1597582800,8-16-20 13:00,ETH/USDT,419.5,423.22,418.46,422.93,268874.1,638.88
1597579200,8-16-20 12:00,ETH/USDT,418,420.24,412.61,419.5,1058622.72,2540.44
1597575600,8-16-20 11:00,ETH/USDT,423.43,423.43,415.4,418,1038769.49,2474.35
1597572000,8-16-20 10:00,ETH/USDT,426.89,427.3,422,423.43,213234.74,502.85
1597568400,8-16-20 9:00,ETH/USDT,426.8,427.9,424.38,426.89,137380.58,322.04
1597564800,8-16-20 8:00,ETH/USDT,426.94,428,424.74,426.8,220953.69,518.77
1597561200,8-16-20 7:00,ETH/USDT,428.47,428.86,426.3,426.94,144797.84,338.98
1597557600,8-16-20 6:00,ETH/USDT,428.72,429.13,426.67,428.47,103302.74,241.51
